,max_thr,max_pair_thr,max_area_thr,num_true_pairs,num_total_pairs,precision
2862,80,50,10,24,59,0.4067796610169492
2863,80,50,15,24,73,0.3287671232876712
2864,80,50,20,25,87,0.28735632183908044
2865,80,50,25,26,91,0.2857142857142857
2866,80,50,30,25,95,0.2631578947368421
2867,80,50,35,25,103,0.24271844660194175
2868,80,50,40,25,107,0.2336448598130841
2869,80,50,45,25,110,0.22727272727272727
2870,80,50,50,26,114,0.22807017543859648
2871,80,50,55,28,122,0.22950819672131148
2872,80,50,60,30,125,0.24
2873,80,50,65,30,127,0.23622047244094488
2874,80,50,70,30,127,0.23622047244094488
2875,80,50,75,30,128,0.234375
2876,80,50,80,30,130,0.23076923076923078
2877,80,50,85,30,133,0.22556390977443608
2878,80,50,90,31,138,0.2246376811594203
2879,80,50,95,31,139,0.22302158273381295
2880,80,55,0,10,25,0.4
2881,80,55,5,19,41,0.4634146341463415
2882,80,55,10,24,59,0.4067796610169492
2883,80,55,15,24,73,0.3287671232876712
2884,80,55,20,25,87,0.28735632183908044
2885,80,55,25,26,91,0.2857142857142857
2886,80,55,30,25,95,0.2631578947368421
2887,80,55,35,25,103,0.24271844660194175
2888,80,55,40,25,107,0.2336448598130841
2889,80,55,45,25,110,0.22727272727272727
2890,80,55,50,26,114,0.22807017543859648
2891,80,55,55,28,122,0.22950819672131148
2892,80,55,60,30,125,0.24
2893,80,55,65,30,127,0.23622047244094488
2894,80,55,70,30,127,0.23622047244094488
2895,80,55,75,30,128,0.234375
2896,80,55,80,30,130,0.23076923076923078
2897,80,55,85,30,133,0.22556390977443608
2898,80,55,90,31,138,0.2246376811594203
2899,80,55,95,31,139,0.22302158273381295
2900,80,60,0,10,25,0.4
2901,80,60,5,19,41,0.4634146341463415
2902,80,60,10,24,59,0.4067796610169492
2903,80,60,15,24,73,0.3287671232876712
2904,80,60,20,25,87,0.28735632183908044
2905,80,60,25,26,91,0.2857142857142857
2906,80,60,30,25,95,0.2631578947368421
2907,80,60,35,25,103,0.24271844660194175
2908,80,60,40,25,107,0.2336448598130841
2909,80,60,45,25,110,0.22727272727272727
2910,80,60,50,26,114,0.22807017543859648
2911,80,60,55,28,122,0.22950819672131148
2912,80,60,60,30,125,0.24
2913,80,60,65,30,127,0.23622047244094488
2914,80,60,70,30,127,0.23622047244094488
2915,80,60,75,30,128,0.234375
2916,80,60,80,30,130,0.23076923076923078
2917,80,60,85,30,133,0.22556390977443608
2918,80,60,90,31,138,0.2246376811594203
2919,80,60,95,31,139,0.22302158273381295
2920,80,65,0,10,25,0.4
2921,80,65,5,19,41,0.4634146341463415
2922,80,65,10,24,59,0.4067796610169492
2923,80,65,15,24,73,0.3287671232876712
2924,80,65,20,25,87,0.28735632183908044
2925,80,65,25,26,91,0.2857142857142857
2926,80,65,30,25,95,0.2631578947368421
2927,80,65,35,25,103,0.24271844660194175
2928,80,65,40,25,107,0.2336448598130841
2929,80,65,45,25,110,0.22727272727272727
2930,80,65,50,26,114,0.22807017543859648
2931,80,65,55,28,122,0.22950819672131148
2932,80,65,60,30,125,0.24
2933,80,65,65,30,127,0.23622047244094488
2934,80,65,70,30,127,0.23622047244094488
2935,80,65,75,30,128,0.234375
2936,80,65,80,30,130,0.23076923076923078
2937,80,65,85,30,133,0.22556390977443608
2938,80,65,90,31,138,0.2246376811594203
2939,80,65,95,31,139,0.22302158273381295
2940,80,70,0,10,25,0.4
2941,80,70,5,19,41,0.4634146341463415
2942,80,70,10,24,59,0.4067796610169492
2943,80,70,15,24,73,0.3287671232876712
2944,80,70,20,25,87,0.28735632183908044
2945,80,70,25,26,91,0.2857142857142857
2946,80,70,30,25,95,0.2631578947368421
2947,80,70,35,25,103,0.24271844660194175
2948,80,70,40,25,107,0.2336448598130841
2949,80,70,45,25,110,0.22727272727272727
2950,80,70,50,26,114,0.22807017543859648
2951,80,70,55,28,122,0.22950819672131148
2952,80,70,60,30,125,0.24
2953,80,70,65,30,127,0.23622047244094488
2954,80,70,70,30,127,0.23622047244094488
2955,80,70,75,30,128,0.234375
2956,80,70,80,30,130,0.23076923076923078
2957,80,70,85,30,133,0.22556390977443608
2958,80,70,90,31,138,0.2246376811594203
2959,80,70,95,31,139,0.22302158273381295
2960,80,75,0,10,25,0.4
2961,80,75,5,19,41,0.4634146341463415
2962,80,75,10,24,59,0.4067796610169492
2963,80,75,15,24,73,0.3287671232876712
2964,80,75,20,25,87,0.28735632183908044
2965,80,75,25,26,91,0.2857142857142857
2966,80,75,30,25,95,0.2631578947368421
2967,80,75,35,25,103,0.24271844660194175
2968,80,75,40,25,107,0.2336448598130841
2969,80,75,45,25,110,0.22727272727272727
2970,80,75,50,26,114,0.22807017543859648
2971,80,75,55,28,122,0.22950819672131148
2972,80,75,60,30,125,0.24
2973,80,75,65,30,127,0.23622047244094488
2974,80,75,70,30,127,0.23622047244094488
2975,80,75,75,30,128,0.234375
2976,80,75,80,30,130,0.23076923076923078
2977,80,75,85,30,133,0.22556390977443608
2978,80,75,90,31,138,0.2246376811594203
2979,80,75,95,31,139,0.22302158273381295
2980,80,80,0,10,25,0.4
2981,80,80,5,19,41,0.4634146341463415
2982,80,80,10,24,59,0.4067796610169492
2983,80,80,15,24,73,0.3287671232876712
2984,80,80,20,25,87,0.28735632183908044
2985,80,80,25,26,91,0.2857142857142857
2986,80,80,30,25,95,0.2631578947368421
2987,80,80,35,25,103,0.24271844660194175
2988,80,80,40,25,107,0.2336448598130841
2989,80,80,45,25,110,0.22727272727272727
2990,80,80,50,26,114,0.22807017543859648
2991,80,80,55,28,122,0.22950819672131148
2992,80,80,60,30,125,0.24
2993,80,80,65,30,127,0.23622047244094488
2994,80,80,70,30,127,0.23622047244094488
